ID,Default,Loan_type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship
63,0,Home,Male  ,49,HS      ,98343,686,10,2,Citizen    
64,0,Car ,Female,36,HS      ,70946,637,0,2,Citizen    
65,0,Home,Male  ,34,College ,120250,590,6,2,Citizen    
66,0,Car ,Female,37,College ,94604,535,1,2,Citizen    
67,0,Home,Male  ,40,HS      ,86004,524,7,2,Citizen    
68,0,Car ,Male  ,37,HS      ,111413,592,0,2,Citizen    
69,0,Home,Male  ,48,HS      ,98027,655,5,2,Citizen    
70,0,Home,Male  ,36,HS      ,64901,483,6,2,Citizen    
71,0,Car ,Female,42,HS      ,96461,591,0,2,Citizen    
72,1,Car ,Male  ,48,HS      ,112781,680,2,2,Citizen    
73,0,Car ,Female,42,HS      ,105276,690,2,1,Citizen    
74,0,Home,Male  ,36,HS      ,89483,663,12,2,Citizen    
75,0,Car ,Female,41,College ,107629,650,1,2,Citizen    
76,0,Car ,Male  ,50,HS      ,88480,582,0,2,Citizen    
77,0,Car ,Female,48,HS      ,63332,597,1,2,Citizen    
78,0,Car ,Female,47,College ,110486,605,2,2,Citizen    
79,0,Car ,Male  ,36,HS      ,91003,584,1,2,Citizen    
80,0,Car ,Female,46,Graduate,87658,688,2,2,Citizen    
81,0,Home,Male  ,35,HS      ,67801,514,6,2,Citizen    
82,0,Car ,Female,44,HS      ,107880,654,0,2,Citizen    
83,0,Car ,Female,42,College ,126326,608,3,1,Citizen    
84,0,Car ,Female,43,HS      ,94438,687,1,2,Citizen    
85,0,Home,Male  ,33,HS      ,95915,557,5,2,Citizen    
86,0,Car ,Male  ,47,College ,75815,582,2,2,Citizen    
87,0,Car ,Female,44,HS      ,109771,596,2,2,Citizen    
88,0,Home,Male  ,41,HS      ,99144,621,13,2,Citizen    
89,0,Car ,Female,42,Graduate,118537,623,2,2,Citizen    
90,0,Car ,Female,44,HS      ,132693,660,2,1,Citizen    
91,0,Car ,Male  ,40,HS      ,108362,703,1,2,Citizen    
92,0,Car ,Female,40,HS      ,104512,701,0,1,Citizen    
93,0,Car ,Female,39,College ,113403,657,1,2,Non-citizen
94,0,Car ,Male  ,41,HS      ,82365,572,0,2,Citizen    
95,0,Car ,Female,36,HS      ,113265,596,1,2,Citizen    
96,0,Car ,Female,38,HS      ,84750,598,0,2,Citizen    
97,0,Car ,Male  ,49,HS      ,100032,584,2,2,Citizen    
98,0,Car ,Male  ,32,College ,94471,468,3,2,Citizen    
99,0,Car ,Male  ,37,HS      ,61508,562,2,2,Citizen    
100,0,Car ,Female,55,College ,128124,691,3,2,Citizen    
101,0,Car ,Male  ,48,HS      ,104622,626,2,1,Citizen    
102,0,Car ,Male  ,41,HS      ,101887,526,1,2,Citizen    
103,0,Car ,Male  ,37,College ,94400,637,2,2,Citizen    
104,0,Car ,Female,50,College ,102471,571,1,2,Citizen    
105,0,Car ,Male  ,54,Graduate,118278,471,3,2,Citizen    
106,0,Car ,Female,62,College ,98850,622,1,2,Citizen    
107,0,Car ,Female,51,College ,121978,644,3,2,Citizen    
108,1,Home,Male  ,47,HS      ,116594,650,7,2,Citizen    
109,0,Car ,Female,47,HS      ,106577,712,2,1,Citizen    
110,0,Home,Male  ,42,HS      ,82115,578,7,2,Citizen    
111,0,Home,Female,37,HS      ,88622,523,5,2,Citizen    
112,0,Car ,Male  ,41,College ,106759,580,3,1,Citizen    
113,0,Home,Female,26,College ,95496,649,5,2,Citizen    
114,0,Car ,Female,46,College ,78871,583,1,2,Citizen    
115,0,Home,Female,37,College ,72233,583,6,2,Citizen    
116,0,Car ,Male  ,44,HS      ,96670,720,1,2,Citizen    
117,1,Car ,Female,56,College ,137669,689,1,1,Non-citizen
118,1,Car ,Female,50,College ,114114,696,2,2,Non-citizen
119,0,Car ,Female,41,College ,86496,604,2,2,Citizen    
120,0,Car ,Female,31,HS      ,97583,506,0,2,Citizen    
121,0,Car ,Male  ,37,HS      ,120005,502,2,2,Citizen    
122,0,Home,Male  ,33,HS      ,104788,535,6,2,Citizen    
123,1,Car ,Female,54,HS      ,91587,742,0,2,Citizen    
124,0,Home,Male  ,46,College ,113556,613,10,2,Citizen    
125,0,Car ,Male  ,52,Graduate,101998,636,3,2,Non-citizen
126,0,Car ,Male  ,40,College ,111874,529,3,2,Citizen    
127,0,Car ,Female,32,HS      ,122053,540,0,2,Citizen    
128,0,Home,Male  ,44,HS      ,83691,521,5,2,Citizen    
129,0,Car ,Female,38,HS      ,106560,558,0,2,Citizen    
130,0,Car ,Male  ,41,College ,98747,596,1,2,Citizen    
131,0,Car ,Male  ,37,HS      ,79054,632,0,2,Citizen    
132,0,Home,Male  ,42,HS      ,70309,572,5,2,Citizen    
133,0,Home,Male  ,37,HS      ,79672,552,3,2,Citizen    
134,0,Car ,Female,41,HS      ,96418,657,1,1,Citizen    
135,0,Home,Male  ,32,HS      ,105689,525,6,2,Citizen    
136,0,Home,Female,41,College ,105493,718,8,2,Citizen    
137,1,Car ,Male  ,48,HS      ,129293,706,2,2,Citizen    
138,0,Car ,Male  ,38,HS      ,93754,588,0,2,Citizen    
139,0,Car ,Female,51,HS      ,105797,580,2,2,Citizen    
140,0,Car ,Male  ,41,College ,112033,563,2,2,Citizen    
141,0,Car ,Male  ,48,College ,94165,583,2,2,Citizen    
142,0,Home,Male  ,30,HS      ,71571,566,1,2,Citizen    
143,1,Car ,Female,44,College ,104553,688,2,2,Citizen    
144,0,Home,Male  ,38,Graduate,107839,682,12,2,Citizen    
145,0,Car ,Female,42,HS      ,86878,487,2,2,Citizen    
146,0,Car ,Male  ,56,College ,114940,633,2,2,Citizen    
147,0,Car ,Male  ,47,College ,85479,653,1,2,Citizen    
148,0,Home,Female,42,HS      ,84707,627,6,2,Citizen    
149,0,Home,Male  ,47,College ,65487,504,9,2,Citizen    
150,0,Car ,Female,35,HS      ,95957,625,0,2,Citizen    
151,0,Car ,Male  ,35,HS      ,121765,568,3,2,Citizen    
152,0,Car ,Male  ,46,College ,94219,701,1,2,Citizen    
153,0,Car ,Female,41,HS      ,95467,639,1,2,Non-citizen
154,0,Car ,Male  ,40,HS      ,81158,625,1,2,Citizen    
155,0,Home,Male  ,30,HS      ,55276,535,5,2,Citizen    
156,1,Car ,Female,39,College ,92009,738,1,2,Citizen    
157,0,Car ,Female,31,HS      ,99295,572,0,2,Citizen    
158,0,Home,Male  ,36,College ,105141,593,8,2,Citizen    
159,0,Car ,Male  ,46,HS      ,83935,767,1,2,Citizen    
160,0,Home,Male  ,39,HS      ,112444,537,3,2,Citizen    
161,0,Car ,Male  ,49,HS      ,109448,601,2,2,Citizen    
162,0,Car ,Female,37,HS      ,88295,601,0,2,Citizen    
163,0,Car ,Male  ,52,HS      ,101542,552,2,2,Citizen    
164,0,Home,Male  ,49,HS      ,105387,585,12,2,Citizen    
165,0,Car ,Male  ,36,HS      ,105836,505,1,2,Citizen    
166,0,Car ,Male  ,47,HS      ,98693,662,2,2,Citizen    
167,0,Home,Male  ,45,HS      ,103574,521,10,2,Citizen    
168,0,Home,Male  ,44,HS      ,85816,605,9,2,Citizen    
169,0,Car ,Male  ,52,HS      ,105639,822,0,2,Citizen    
170,0,Home,Female,44,HS      ,110446,621,6,2,Citizen    
171,0,Car ,Male  ,40,College ,96149,560,2,2,Citizen    
172,0,Car ,Female,56,HS      ,129233,659,0,2,Citizen    
173,0,Car ,Male  ,48,College ,142083,683,2,2,Citizen    
174,0,Car ,Female,37,HS      ,96187,600,1,2,Citizen    
175,0,Home,Female,43,College ,115134,578,10,2,Citizen    
176,0,Home,Male  ,36,HS      ,53709,541,7,2,Citizen    
177,0,Car ,Female,55,HS      ,117622,575,0,2,Non-citizen
178,0,Car ,Male  ,50,College ,128119,822,3,2,Citizen    
179,0,Car ,Female,41,HS      ,90013,595,2,2,Citizen    
180,0,Car ,Male  ,31,HS      ,61786,533,0,2,Citizen    
181,0,Home,Female,34,College ,64024,693,5,2,Citizen    
182,0,Car ,Male  ,45,College ,75261,602,2,2,Citizen    
183,0,Home,Female,42,College ,106206,570,4,2,Citizen    
184,0,Car ,Female,43,College ,120510,595,0,2,Citizen    
185,0,Home,Male  ,33,HS      ,116700,549,1,2,Citizen    
186,0,Home,Male  ,32,HS      ,87202,575,3,2,Citizen    
187,0,Car ,Male  ,40,HS      ,83125,569,0,2,Citizen    
188,0,Car ,Male  ,42,HS      ,83844,650,0,2,Citizen    
189,0,Car ,Male  ,43,HS      ,100112,453,2,2,Citizen    
190,0,Car ,Male  ,49,Graduate,126511,716,3,2,Citizen    
191,0,Car ,Male  ,50,HS      ,106383,535,1,2,Non-citizen
192,0,Car ,Male  ,46,HS      ,102451,559,2,2,Citizen    
193,1,Home,Female,38,Graduate,87650,641,5,2,Citizen    
194,0,Home,Male  ,46,HS      ,105334,534,10,2,Citizen    
195,0,Car ,Male  ,39,HS      ,101608,522,0,2,Citizen    
196,0,Home,Male  ,42,HS      ,108430,629,13,2,Citizen    
197,0,Car ,Female,48,HS      ,115372,591,2,2,Citizen    
198,0,Car ,Female,41,HS      ,101821,655,2,2,Citizen    
199,0,Car ,Male  ,39,HS      ,101002,629,3,2,Citizen    
200,0,Car ,Female,48,College ,108378,688,0,2,Non-citizen
201,0,Car ,Male  ,44,Graduate,87408,537,3,2,Citizen    
202,0,Home,Male  ,53,College ,112383,671,8,2,Citizen    
203,1,Home,Male  ,31,HS      ,108061,614,9,2,Citizen    
204,0,Car ,Female,39,HS      ,101420,701,2,2,Citizen    
205,0,Car ,Male  ,35,College ,93252,517,1,2,Citizen    
206,0,Car ,Male  ,45,HS      ,79590,629,2,2,Citizen    
207,0,Car ,Female,53,HS      ,106569,701,1,2,Citizen    
208,0,Home,Male  ,45,College ,109824,708,9,2,Non-citizen
209,0,Home,Female,36,HS      ,112640,649,4,2,Citizen    
210,0,Car ,Female,47,HS      ,71524,644,0,2,Citizen    
211,0,Car ,Female,29,HS      ,45103,585,0,2,Citizen    
212,0,Car ,Female,51,HS      ,106947,700,1,2,Citizen    
213,0,Home,Female,47,HS      ,90422,598,3,2,Citizen    
214,1,Car ,Male  ,46,HS      ,120777,658,2,2,Citizen    
215,0,Home,Male  ,42,HS      ,113592,588,5,2,Citizen    
216,0,Home,Male  ,36,HS      ,97782,638,6,2,Citizen    
217,0,Car ,Female,43,HS      ,109092,649,0,2,Citizen    
218,0,Home,Male  ,44,HS      ,88268,608,7,1,Citizen    
219,1,Car ,Male  ,50,HS      ,97334,626,0,2,Citizen    
220,0,Car ,Female,39,HS      ,95519,563,1,2,Citizen    
221,0,Home,Male  ,48,College ,57502,579,9,2,Citizen    
222,0,Home,Male  ,33,HS      ,98858,616,7,2,Citizen    
223,0,Car ,Male  ,44,HS      ,77614,614,0,2,Citizen    
224,0,Car ,Male  ,46,College ,89245,649,2,2,Citizen    
225,0,Car ,Female,40,College ,95368,638,1,2,Citizen    
226,0,Car ,Female,42,HS      ,123815,684,3,2,Citizen    
227,0,Home,Male  ,50,HS      ,106085,664,2,2,Citizen    
228,0,Car ,Male  ,50,HS      ,118184,645,1,2,Citizen    
229,0,Car ,Male  ,31,HS      ,75153,522,0,2,Citizen    
230,0,Car ,Female,38,HS      ,102509,512,3,2,Citizen    
231,0,Car ,Male  ,47,HS      ,110604,576,1,2,Citizen    
232,1,Home,Female,51,Graduate,110699,683,3,2,Citizen    
233,0,Home,Female,43,HS      ,72684,625,4,2,Citizen    
234,0,Car ,Male  ,42,HS      ,81629,690,0,2,Citizen    
235,0,Home,Male  ,41,HS      ,47859,517,1,2,Citizen    
236,0,Car ,Male  ,38,HS      ,97805,561,0,2,Citizen    
237,0,Car ,Female,48,College ,95118,696,1,1,Citizen    
238,0,Home,Male  ,35,HS      ,85182,603,4,2,Citizen    
239,0,Car ,Female,41,HS      ,69221,697,0,2,Citizen    
240,0,Home,Male  ,38,College ,84649,578,6,2,Citizen    
241,0,Car ,Female,49,College ,101001,719,1,2,Citizen    
242,0,Home,Male  ,39,HS      ,87312,571,3,2,Citizen    
243,1,Car ,Female,44,College ,100978,685,2,2,Citizen    
244,0,Home,Female,45,HS      ,98420,592,3,2,Citizen    
245,0,Car ,Male  ,35,HS      ,76690,517,0,2,Citizen    
246,0,Car ,Male  ,49,HS      ,105512,669,0,2,Citizen    
247,0,Car ,Male  ,38,HS      ,83456,512,2,2,Citizen    
248,0,Car ,Male  ,49,College ,107705,695,3,2,Citizen    
249,0,Car ,Female,45,HS      ,102789,549,1,2,Citizen    
250,0,Car ,Male  ,37,College ,65698,620,1,2,Citizen    
251,0,Car ,Male  ,49,HS      ,84677,566,0,2,Citizen    
252,0,Car ,Male  ,53,HS      ,126542,659,3,2,Citizen    
253,0,Car ,Female,46,HS      ,117076,584,2,2,Citizen    
254,0,Car ,Male  ,53,HS      ,105099,583,0,2,Citizen    
255,0,Car ,Male  ,51,College ,98294,558,3,2,Citizen    
256,0,Car ,Male  ,38,HS      ,93933,637,1,2,Citizen    
258,0,Home,Female,34,HS      ,82406,601,3,2,Citizen    
259,0,Car ,Male  ,47,HS      ,96505,635,1,2,Citizen    
260,0,Car ,Male  ,43,College ,102415,688,2,2,Citizen    
261,0,Car ,Female,45,HS      ,94892,643,0,2,Citizen    
262,0,Car ,Female,42,HS      ,80752,616,0,2,Citizen    
263,0,Home,Female,34,HS      ,107424,539,1,2,Citizen    
264,0,Car ,Female,45,Graduate,127969,662,3,2,Citizen    
265,0,Home,Female,50,HS      ,107040,584,4,2,Citizen    
266,0,Home,Male  ,42,HS      ,56255,630,6,2,Citizen    
267,0,Car ,Male  ,40,College ,85385,678,3,2,Citizen    
268,0,Home,Male  ,42,HS      ,78929,579,1,2,Citizen    
269,0,Car ,Female,48,HS      ,101432,598,1,2,Citizen    
270,0,Car ,Female,44,College ,138385,558,2,2,Citizen    
271,0,Car ,Female,57,Graduate,93078,707,3,1,Citizen    
272,0,Home,Male  ,38,College ,95156,619,7,2,Citizen    
273,0,Home,Male  ,42,HS      ,96701,588,8,1,Citizen    
274,0,Home,Male  ,44,HS      ,100606,579,9,1,Citizen    
275,0,Home,Male  ,29,HS      ,94702,464,4,2,Citizen    
276,0,Car ,Male  ,44,College ,116089,608,1,2,Citizen    
277,0,Car ,Female,44,HS      ,91502,726,0,2,Citizen    
278,0,Home,Male  ,41,HS      ,79165,634,3,2,Citizen    
279,0,Car ,Male  ,40,HS      ,62904,666,0,2,Citizen    
280,0,Home,Male  ,40,HS      ,111836,616,3,2,Non-citizen
281,0,Car ,Female,37,HS      ,108773,579,0,2,Citizen    
282,0,Car ,Male  ,44,College ,127623,642,2,2,Citizen    
283,1,Car ,Male  ,47,HS      ,90080,698,0,2,Citizen    
284,1,Home,Female,43,HS      ,112638,564,6,2,Citizen    
285,0,Car ,Male  ,40,HS      ,69589,630,0,2,Citizen    
286,0,Home,Male  ,30,HS      ,89490,565,2,2,Citizen    
287,0,Car ,Male  ,35,HS      ,92995,463,0,2,Citizen    
288,0,Car ,Male  ,44,College ,92371,624,3,2,Citizen    
289,0,Car ,Male  ,36,HS      ,114615,684,2,2,Citizen    
290,0,Home,Male  ,39,HS      ,103997,590,6,2,Citizen    
291,0,Home,Female,38,College ,108771,592,13,2,Citizen    
292,0,Home,Male  ,33,HS      ,92762,524,10,2,Citizen    
293,0,Car ,Female,49,College ,93237,666,1,2,Citizen    
294,0,Car ,Male  ,37,HS      ,91143,571,0,2,Citizen    
295,0,Car ,Female,43,HS      ,97926,510,0,2,Citizen    
296,0,Home,Female,50,HS      ,139022,682,10,1,Non-citizen
297,0,Car ,Male  ,32,HS      ,64108,629,0,2,Citizen    
298,0,Home,Male  ,39,HS      ,91205,519,1,2,Citizen    
299,0,Car ,Male  ,41,HS      ,98098,679,1,2,Citizen    
300,0,Car ,Male  ,33,HS      ,73509,510,0,2,Citizen    
301,0,Car ,Female,52,HS      ,134028,625,2,2,Citizen    
302,0,Home,Male  ,31,HS      ,94993,654,5,2,Citizen    
303,0,Car ,Male  ,37,HS      ,66753,504,0,2,Citizen    
304,0,Home,Female,40,HS      ,97553,631,1,2,Citizen    
305,0,Home,Male  ,37,HS      ,47752,512,7,2,Citizen    
306,0,Home,Male  ,38,HS      ,94635,629,9,2,Citizen    
307,0,Home,Female,44,HS      ,104991,506,6,2,Citizen    
308,0,Car ,Female,42,HS      ,111666,479,0,2,Citizen    
309,0,Car ,Male  ,45,College ,90679,617,1,2,Citizen    
310,0,Car ,Male  ,36,College ,90156,659,2,2,Citizen    
311,0,Home,Male  ,45,HS      ,111981,715,7,2,Citizen    
312,0,Car ,Male  ,41,College ,123681,575,1,2,Citizen    
313,0,Car ,Male  ,43,HS      ,106828,673,0,2,Citizen    
314,0,Car ,Male  ,44,HS      ,126459,647,3,2,Citizen    
315,0,Car ,Male  ,45,HS      ,102523,592,0,2,Citizen    
316,0,Car ,Male  ,33,HS      ,60002,728,1,2,Citizen    
317,0,Home,Male  ,37,HS      ,90529,596,8,2,Citizen    
318,0,Car ,Female,41,HS      ,90085,616,0,2,Citizen    
319,0,Home,Male  ,35,HS      ,94422,577,4,2,Citizen    
320,0,Car ,Male  ,47,HS      ,107142,591,1,2,Citizen    
321,0,Home,Male  ,30,HS      ,117138,535,6,2,Citizen    
322,0,Car ,Female,35,HS      ,74330,638,1,1,Citizen    
323,0,Car ,Female,45,HS      ,113073,599,0,2,Citizen    
324,0,Home,Male  ,35,HS      ,73092,523,6,2,Citizen    
325,0,Car ,Male  ,52,HS      ,109324,582,2,2,Citizen    
326,0,Car ,Male  ,38,College ,105928,614,2,2,Citizen    
327,0,Car ,Female,37,College ,107889,597,0,2,Citizen    
328,0,Home,Male  ,37,HS      ,93045,443,6,2,Citizen    
329,0,Car ,Female,46,HS      ,92836,624,0,1,Citizen    
330,0,Car ,Male  ,45,HS      ,85088,622,1,2,Citizen    
331,0,Home,Male  ,34,HS      ,61951,494,4,2,Citizen    
332,0,Car ,Male  ,49,HS      ,104406,643,1,2,Citizen    
333,0,Car ,Male  ,42,HS      ,77268,634,2,2,Citizen    
334,0,Home,Female,40,College ,99521,595,7,2,Citizen    
335,0,Home,Male  ,47,HS      ,111971,560,2,2,Citizen    
336,0,Car ,Male  ,42,HS      ,85432,530,1,2,Citizen    
337,0,Car ,Male  ,38,HS      ,108023,626,0,2,Citizen    
338,0,Car ,Male  ,43,HS      ,89821,631,1,2,Citizen    
339,1,Car ,Male  ,56,Graduate,116286,701,2,2,Non-citizen
340,0,Car ,Female,44,HS      ,86820,744,0,1,Citizen    
341,0,Home,Male  ,37,HS      ,92839,718,8,2,Citizen    
342,0,Car ,Female,43,College ,98519,637,2,2,Citizen    
343,0,Car ,Male  ,42,HS      ,72996,553,0,2,Citizen    
344,0,Car ,Female,51,College ,109867,635,3,2,Citizen    
345,0,Car ,Female,51,College ,104754,627,2,2,Citizen    
346,0,Car ,Male  ,36,HS      ,109294,509,1,2,Citizen    
347,0,Car ,Male  ,58,HS      ,111420,633,2,2,Citizen    
348,1,Car ,Female,45,College ,111484,644,2,1,Non-citizen
349,0,Home,Male  ,33,College ,95112,666,6,2,Citizen    
350,0,Car ,Female,42,HS      ,100902,564,0,2,Citizen    
351,0,Home,Female,48,Graduate,86260,668,11,2,Citizen    
352,0,Home,Male  ,44,HS      ,76710,542,6,2,Citizen    
353,0,Car ,Male  ,40,College ,103332,614,1,2,Citizen    
354,0,Home,Male  ,47,HS      ,104901,518,9,2,Citizen    
355,0,Car ,Female,42,HS      ,100738,653,0,2,Citizen    
356,0,Home,Female,39,HS      ,109824,650,7,2,Citizen    
357,0,Car ,Male  ,35,HS      ,105831,540,1,2,Citizen    
358,0,Car ,Female,45,College ,98573,656,0,2,Citizen    
359,0,Car ,Female,41,College ,108167,574,2,2,Citizen    
360,0,Home,Male  ,38,HS      ,99921,499,10,2,Citizen    
361,0,Home,Male  ,33,HS      ,78738,433,5,2,Citizen    
362,0,Home,Female,37,Graduate,106738,592,8,2,Citizen    
363,0,Car ,Male  ,40,HS      ,95502,567,0,2,Citizen    
364,0,Car ,Male  ,39,HS      ,91658,403,1,2,Citizen    
365,0,Car ,Female,43,HS      ,76332,674,0,2,Citizen    
366,1,Car ,Female,51,Graduate,124592,796,3,2,Non-citizen
367,0,Car ,Male  ,49,College ,84298,589,3,2,Citizen    
368,0,Home,Male  ,43,HS      ,119009,587,8,2,Citizen    
369,0,Car ,Male  ,40,HS      ,90963,627,2,2,Citizen    
370,0,Car ,Female,40,HS      ,115422,672,0,1,Citizen    
371,0,Car ,Male  ,27,HS      ,82144,550,0,2,Citizen    
372,0,Home,Male  ,39,HS      ,90919,527,4,2,Citizen    
373,1,Car ,Female,53,College ,101185,709,3,1,Citizen    
374,0,Car ,Male  ,38,HS      ,104208,667,0,2,Citizen    
375,0,Home,Male  ,44,HS      ,84069,720,4,2,Citizen    
376,0,Home,Male  ,26,HS      ,79546,546,4,2,Citizen    
377,0,Car ,Male  ,42,College ,81982,454,1,2,Citizen    
378,0,Car ,Female,51,HS      ,118404,655,2,1,Citizen    
379,0,Car ,Male  ,46,College ,83902,641,2,2,Citizen    
380,0,Car ,Male  ,53,HS      ,132712,647,2,2,Citizen    
381,0,Car ,Female,49,Graduate,105788,682,3,2,Citizen    
382,0,Car ,Female,51,HS      ,70941,634,1,2,Citizen    
383,0,Home,Male  ,38,HS      ,100456,455,8,2,Citizen    
384,0,Home,Female,37,HS      ,98387,532,2,2,Citizen    
385,0,Home,Male  ,32,HS      ,78638,501,5,2,Citizen    
386,1,Car ,Male  ,42,College ,133041,641,0,2,Citizen    
387,0,Home,Male  ,44,HS      ,106028,586,4,2,Citizen    
388,1,Car ,Male  ,41,College ,118404,690,0,2,Citizen    
389,0,Home,Female,44,HS      ,73558,641,8,2,Citizen    
390,0,Car ,Male  ,51,HS      ,121742,675,1,2,Citizen    
391,0,Car ,Female,44,HS      ,123021,693,1,2,Citizen    
392,0,Car ,Male  ,49,HS      ,121560,664,3,2,Citizen    
393,0,Home,Male  ,44,HS      ,127522,595,7,2,Citizen    
394,0,Home,Female,45,HS      ,79765,514,3,2,Citizen    
395,0,Home,Female,35,HS      ,110407,636,2,2,Citizen    
396,0,Car ,Male  ,40,HS      ,106680,711,1,2,Citizen    
397,0,Car ,Female,51,Graduate,102979,693,3,1,Non-citizen
398,0,Car ,Male  ,46,HS      ,123397,700,2,1,Non-citizen
399,0,Home,Male  ,26,HS      ,80687,502,4,2,Citizen    
400,0,Car ,Female,35,College ,96089,586,1,1,Citizen    
401,0,Car ,Female,44,College ,110755,749,2,2,Citizen    
402,0,Car ,Female,47,Graduate,99830,675,3,2,Non-citizen
403,0,Home,Female,37,HS      ,121760,687,5,2,Citizen    
404,0,Home,Male  ,41,HS      ,99238,518,7,2,Citizen    
405,0,Car ,Male  ,38,HS      ,98333,600,1,1,Citizen    
406,0,Car ,Female,53,College ,95259,685,2,2,Citizen    
407,0,Car ,Female,50,Graduate,120905,641,2,2,Citizen    
408,0,Home,Male  ,44,HS      ,53413,505,3,2,Citizen    
409,0,Home,Female,46,HS      ,81750,579,7,2,Citizen    
410,0,Car ,Male  ,32,HS      ,83209,576,0,2,Citizen    
411,0,Car ,Female,29,College ,84191,588,0,2,Citizen    
412,0,Car ,Female,42,HS      ,108036,605,0,2,Citizen    
413,1,Car ,Female,41,College ,99189,540,0,2,Non-citizen
414,0,Home,Female,44,HS      ,79854,684,2,2,Citizen    
415,0,Car ,Male  ,52,HS      ,70678,570,0,2,Citizen    
416,0,Car ,Male  ,49,Graduate,107097,651,2,2,Citizen    
417,0,Car ,Male  ,56,College ,120219,639,1,2,Citizen    
