age,sex,gmat_tot,gmat_qpc,gmat_vpc,gmat_tpc,s_avg,f_avg,quarter,work_yrs,frstlang,salary,satis
39,1,600,72,81,83,3.6,3.5,1,16,1,112000,7
27,1,570,95,33,75,3.7,4,1,4,1,115000,5
27,1,710,95,98,98,3.6,3.5,1,1,1,115000,5
33,1,620,72,89,87,3.5,3.5,1,10,2,118000,7
27,1,600,67,84,83,3.5,3,1,3,1,120000,5
28,1,700,95,95,98,3.8,4,1,5,1,120000,5
30,1,600,77,81,84,3.5,3.25,1,5,1,120000,6
30,2,670,87,95,95,3.3,3.25,1,8,1,120000,6
40,1,630,71,95,91,4,0,1,15,1,146000,6
25,1,700,98,93,98,3.6,3.75,1,1,1,162000,5
22,1,600,95,54,83,3,3,2,1,1,0,5
23,1,640,89,87,92,3,3,2,2,1,0,7
24,1,550,73,63,69,3.1,3,2,0,2,0,5
24,1,570,82,58,75,3.09,3.5,2,2,1,0,6
24,1,620,82,84,87,3.1,3.5,2,1,1,0,5
25,2,570,61,81,76,3,3.25,2,3,1,0,4
25,1,660,94,84,94,3.27,3.75,2,2,1,0,5
25,1,680,94,92,97,3.17,3.5,2,2,1,0,6
25,1,690,87,98,98,3,3,2,3,1,999,5
25,2,670,99,85,96,3,3.25,2,2,2,998,998
25,1,690,94,95,98,3,2.75,2,2,1,998,998
25,2,630,83,89,90,3,2.75,2,3,1,998,998
25,1,670,99,74,96,3.18,3.25,2,2,2,998,998
25,1,680,91,95,97,3,3,2,2,1,998,998
25,1,690,96,89,97,3,3,2,3,1,998,998
25,1,670,97,81,95,3.1,3.25,2,2,1,998,998
25,1,580,79,71,78,3.1,2.33,2,2,1,998,998
26,1,680,92,93,97,3,3,2,3,1,999,1
26,2,560,64,71,72,3.2,3.25,2,3,1,0,6
26,1,560,87,41,72,3,3,2,3,1,0,6
26,1,530,68,54,62,3.09,3.17,2,4,2,0,5
27,1,740,99,98,99,3.1,3.5,2,2,1,999,4
27,1,720,99,95,99,3.1,3.25,2,5,1,0,5
27,1,590,60,87,81,3,2.75,2,3,1,0,6
27,1,630,87,84,89,3.2,3,2,4,1,998,998
27,1,560,60,71,72,3.2,3,2,4,1,998,998
28,2,450,49,22,44,3.1,3.75,2,4,2,998,998
28,1,620,81,90,89,3.2,3,2,4,1,0,6
28,2,610,85,78,86,3.1,3,2,5,1,0,6
28,1,660,95,85,96,3.1,3.25,2,4,1,999,3
29,1,660,94,87,94,3,3,2,1,1,0,6
29,1,580,91,50,80,3.1,2.67,2,4,2,999,4
29,1,510,57,50,55,3.27,3.4,2,5,1,0,5
29,2,640,90,84,92,3.2,3,2,3,1,0,5
29,1,610,91,62,86,3.1,3.67,2,7,1,0,5
29,1,590,68,84,81,3.1,3,2,6,1,999,5
29,1,580,79,67,78,3,3.25,2,4,1,0,6
30,1,680,97,87,96,3,3,2,4,1,0,5
31,1,670,83,98,96,3.2,3.4,2,4,1,999,6
32,2,610,64,89,86,3.25,0,2,11,1,0,7
35,1,540,43,78,65,3.2,3.25,2,8,1,0,5
35,1,630,66,95,90,3.08,3.25,2,12,1,0,5
36,2,530,48,71,62,3,2.5,2,7,1,0,5
36,1,650,87,89,93,3,3.2,2,18,1,0,6
43,1,630,82,87,89,3.1,3,2,16,1,0,5
26,2,670,87,95,95,3.1,3.33,2,1,1,82000,7
25,2,620,89,74,87,3.1,3.5,2,2,1,92000,5
31,1,540,60,62,65,3.1,3,2,8,1,93000,6
25,1,670,95,89,95,3.2,3.5,2,2,1,95000,6
25,1,610,87,71,86,3.27,3.25,2,3,1,95000,6
24,1,560,52,81,72,3.2,3.25,2,2,1,96000,7
24,1,500,78,30,52,3,2.75,2,2,1,96500,6
23,1,590,72,81,81,3.2,3.25,2,2,1,98000,6
24,1,570,82,58,75,3.2,3.25,2,2,1,98000,6
26,2,570,93,37,75,3,2.75,2,3,2,98000,5
28,2,580,83,58,79,3.1,3,2,5,2,99000,6
24,2,580,72,71,78,3,3.25,2,2,1,100000,5
31,1,560,68,67,72,3.09,3,2,4,1,100000,6
25,2,620,89,74,87,3.1,3.5,2,2,1,101000,5
27,1,620,97,63,88,3.2,3,2,3,1,103000,6
28,1,560,75,58,72,3.2,3.25,2,4,1,104000,5
26,1,680,84,96,96,3.2,3.25,2,3,1,105000,6
27,1,620,81,87,89,3,3,2,3,1,105000,5
34,1,550,72,58,69,3,3,2,16,1,105000,5
26,1,600,84,67,83,3.09,3.5,2,2,1,107000,5
29,1,670,91,93,95,3.1,3,2,6,1,112000,6
24,1,620,84,81,87,3,3.25,2,1,1,115000,6
27,1,630,72,95,89,3.2,3,2,4,1,115000,6
26,1,650,89,87,93,3.2,3.25,2,4,1,130000,7
24,1,620,88,74,87,3.1,3,2,2,1,145800,6
23,1,720,95,98,99,2.8,2.5,3,1,1,0,5
24,2,640,94,78,92,2.9,3.25,3,2,2,0,4
24,1,710,96,97,99,2.8,2.75,3,2,1,0,7
24,1,670,94,89,96,2.7,3,3,2,1,0,7
24,2,710,97,97,99,2.8,3,3,2,1,0,7
24,1,650,89,84,93,2.7,3.25,3,1,1,999,5
24,1,600,89,62,83,2.9,3,3,1,1,0,6
24,2,640,96,71,91,2.7,2.5,3,2,1,0,6
25,1,600,89,62,83,2.7,3.25,3,4,1,998,998
25,1,630,79,91,89,2.7,2.75,3,2,1,998,998
25,1,550,72,58,69,2.9,3,3,3,1,0,6
25,1,710,99,91,98,2.9,3.25,3,1,1,0,6
25,1,660,95,84,94,2.7,3,3,3,1,999,6
25,1,630,93,71,89,2.9,3.25,3,3,2,998,998
25,1,560,79,58,72,2.73,3.17,3,2,2,998,998
26,1,670,97,81,96,2.7,2.5,3,4,1,998,998
26,1,660,88,93,94,2.9,2.75,3,3,2,998,998
26,1,630,83,87,90,2.7,3,3,3,1,998,998
26,1,640,87,84,91,2.7,3.2,3,4,1,999,5
26,1,560,56,81,72,2.8,3.25,3,4,1,0,6
26,1,540,52,71,65,2.7,2.75,3,2,1,0,6
26,1,600,97,45,83,2.7,3,3,4,2,999,6
26,2,570,48,89,75,2.82,2.5,3,3,1,0,5
26,1,610,82,81,86,2.9,2.75,3,3,1,0,6
27,1,650,89,84,93,2.9,3,3,2,1,0,6
27,2,550,66,63,69,2.9,3,3,3,1,0,4
27,1,730,95,99,99,2.9,3.33,3,0,1,999,5
27,1,610,97,45,86,2.7,2.5,3,4,2,0,5
27,2,630,82,89,89,2.7,3.25,3,5,1,0,6
27,2,560,61,74,73,2.8,3.25,3,5,1,0,6
27,2,620,97,54,87,2.7,2.75,3,2,2,999,2
27,1,600,68,87,83,2.9,3.25,3,3,1,998,998
27,1,650,79,95,93,2.7,3.25,3,3,1,998,998
27,1,560,52,81,72,2.7,2.75,3,2,1,998,998
27,1,610,48,98,86,2.7,3,3,4,1,998,998
27,1,600,77,81,84,2.7,3,3,3,1,998,998
28,1,460,66,16,37,2.7,2.5,3,4,1,998,998
28,1,650,99,63,93,2.9,3,3,4,2,998,998
28,2,610,64,93,86,2.8,3.25,3,4,1,998,998
28,1,500,46,54,52,2.9,2.75,3,9,1,999,6
29,1,590,92,58,81,2.8,2.75,3,3,2,0,5
29,1,560,57,74,73,2.8,3,3,4,1,999,5
32,1,550,52,78,71,2.7,2.75,3,7,1,0,6
34,1,610,79,81,86,2.8,3,3,11,1,0,6
34,1,610,82,78,86,2.7,3,3,12,1,0,5
43,1,480,49,41,45,2.9,3.25,3,22,1,0,5
23,2,520,43,67,58,2.9,2.75,3,1,1,78256,5
27,1,620,87,74,87,2.7,2.75,3,3,1,88500,6
25,1,580,78,67,80,2.9,3.25,3,2,1,90000,7
25,1,630,75,93,89,2.7,2.5,3,2,1,90000,5
25,1,610,89,74,87,2.7,2.75,3,4,1,93000,6
29,2,560,64,71,72,2.9,3,3,5,1,95000,7
27,1,620,79,87,88,2.9,2.75,3,4,1,97000,7
28,1,580,72,71,78,2.8,3,3,3,1,97000,6
24,2,670,83,98,96,2.9,3.25,3,2,1,98000,7
25,2,560,39,91,72,2.9,3,3,2,1,98000,7
25,2,580,72,71,78,2.8,3.25,3,2,1,98000,6
27,1,680,97,90,97,2.9,2.75,3,2,2,98000,6
28,1,610,89,67,86,2.7,3,3,4,1,98000,7
29,1,710,93,98,99,2.9,3.25,3,7,1,98000,5
24,1,710,99,92,99,2.9,3,3,3,1,100000,6
25,2,630,84,87,89,2.8,2.75,3,2,1,100000,6
24,2,600,89,67,85,2.8,3,3,2,1,101000,6
29,1,660,91,90,95,2.8,3,3,8,1,101100,6
30,1,670,83,97,96,2.8,2.75,3,6,1,102500,5
24,1,580,89,54,78,2.91,2.83,3,2,1,105000,5
29,1,680,79,99,96,2.9,3,3,6,1,106000,6
32,1,660,83,95,94,2.9,3.5,3,2,2,107300,7
28,1,570,56,84,75,2.9,3,3,4,1,108000,6
24,1,680,96,87,97,2.8,2.75,3,2,1,112000,6
24,1,610,82,81,86,2.5,2.75,4,2,1,998,998
24,1,640,93,78,91,2.4,2.5,4,1,1,998,998
25,1,600,53,95,84,2.5,3,4,2,1,999,4
25,1,730,98,96,99,2.4,2.75,4,2,1,0,6
25,2,650,87,91,93,2.5,2.5,4,3,1,999,7
25,1,640,79,93,91,2.67,0,4,1,1,998,998
25,1,590,68,81,81,2.6,2.75,4,3,1,998,998
25,1,590,97,41,81,2.5,2.75,4,2,2,999,4
25,1,700,99,87,98,2,2,4,1,1,0,7
26,1,660,93,87,95,2.6,2,4,2,1,0,5
26,1,450,28,46,34,2.1,2,4,4,1,0,6
26,1,560,87,45,72,2.6,3,4,3,2,999,3
26,1,600,75,78,83,2.2,2.25,4,2,1,0,6
26,1,570,82,58,75,2.5,2.75,4,3,1,999,6
26,1,590,89,58,81,2.5,2.25,4,3,1,998,998
26,2,670,98,81,95,2.6,2.5,4,3,1,998,998
27,1,660,97,81,94,2.5,2.5,4,4,1,999,4
27,2,560,59,74,73,2.4,2.5,4,2,1,0,5
27,1,790,99,99,99,2.4,2.5,4,4,1,999,6
27,1,630,93,78,91,2.1,2.5,4,4,1,0,5
27,1,580,84,58,78,2.7,2.75,4,1,1,0,5
27,1,620,85,85,89,3.3,3,4,1,1,999,5
27,1,670,89,91,95,3.6,3.25,4,5,1,0,6
27,1,580,74,70,78,3.4,3.25,4,3,1,0,6
28,1,560,74,67,73,3.6,3.6,4,5,1,0,5
28,1,620,93,71,87,2.4,2.75,4,3,1,999,4
28,1,710,94,98,99,3.4,3.75,4,6,1,0,6
28,1,570,69,71,0,2.3,2.5,4,5,1,0,5
29,1,530,35,81,62,3.3,2.75,4,6,1,0,7
29,1,690,99,87,97,2.3,2.25,4,7,1,999,5
29,1,630,87,84,89,2.9,2.8,4,3,1,999,4
29,1,670,91,91,95,3.3,3.25,4,3,1,0,5
29,1,630,99,50,89,2.9,3.25,4,1,2,0,4
29,2,680,89,96,96,2.8,3,4,4,1,0,5
30,1,650,88,92,93,3.45,3.83,4,2,1,0,6
30,1,550,79,45,69,2.45,2.75,4,5,2,999,4
30,2,600,99,46,86,2.8,3,4,6,2,999,4
30,1,630,82,87,89,3.8,3.5,4,7,1,998,998
31,1,580,83,67,79,3,3.25,4,6,1,998,998
31,1,740,99,98,99,2.2,3,4,8,1,998,998
31,1,570,75,62,75,2.8,3,4,1,1,0,6
31,1,640,79,92,92,2.7,2.75,4,7,1,999,3
32,1,570,89,41,75,2.6,2.5,4,4,2,999,3
32,1,510,79,22,54,2.3,2.25,4,5,2,0,5
35,1,570,72,71,75,3.3,4,4,8,1,0,6
39,2,700,89,98,98,3.3,3.25,4,5,1,0,5
24,2,560,55,78,71,3.5,3.25,4,2,1,64000,7
23,1,660,81,98,95,2.5,3,4,2,1,77000,6
25,2,720,96,98,99,3.5,3.6,4,3,1,85000,6
26,1,620,78,87,89,2.4,2,4,2,1,85000,6
26,2,630,85,81,90,2.9,3.25,4,3,1,86000,5
27,1,650,89,89,93,2.4,2.25,4,5,1,90000,5
25,1,660,99,71,95,3.4,3.25,4,2,1,92000,7
25,1,610,83,81,86,2.4,2.75,4,2,1,95000,7
26,1,600,87,62,83,2.5,2.5,4,2,1,96000,6
24,1,570,75,62,75,2.3,2.5,4,2,1,98000,6
24,2,600,77,78,84,2.6,3,4,2,1,100000,6
26,2,650,91,84,93,2.6,3,4,2,1,100000,7
29,1,630,72,95,89,2.6,2.5,4,3,1,100400,7
26,1,630,96,71,91,2.6,2.75,4,3,1,101600,6
31,1,530,75,45,62,2.4,2.75,4,4,2,104000,6
23,1,580,64,81,78,2.2,2,4,2,1,105000,6
25,1,540,79,45,65,2.6,2.5,4,3,1,115000,5
26,1,550,72,58,69,2.6,2.75,4,3,1,126710,6
40,2,500,60,45,51,2.5,2.75,4,15,2,220000,6
